,Pclass,Sex,Age,Fare,Embarked,FamilyCount,Title,Has Cabin,IsAlone,Survived
711,1,0,29.69911764705882,26.55,0,0,1,1,0,0
466,2,0,29.69911764705882,0.0,0,0,1,0,0,0
213,2,0,30.0,13.0,0,0,1,0,0,0
496,1,1,54.0,78.2667,2,1,2,1,1,1
583,1,0,36.0,40.125,2,0,1,1,0,0
839,1,0,29.69911764705882,29.7,2,0,1,1,0,1
605,3,0,36.0,15.55,0,1,1,0,1,0
420,3,0,29.69911764705882,7.8958,2,0,1,0,0,0
804,3,0,27.0,6.975,0,0,1,0,0,1
472,2,1,33.0,27.75,0,3,3,0,1,1
405,2,0,34.0,21.0,0,1,1,0,1,0
707,1,0,42.0,26.2875,0,0,1,1,0,1
156,3,1,16.0,7.7333,1,0,2,0,0,1
529,2,0,23.0,11.5,0,3,1,0,1,0
546,2,1,19.0,26.0,0,1,3,0,1,1
332,1,0,38.0,153.4625,0,1,1,1,1,0
413,2,0,29.69911764705882,0.0,0,0,1,0,0,0
203,3,0,45.5,7.225,2,0,1,0,0,0
635,2,1,28.0,13.0,0,0,2,0,0,1
826,3,0,29.69911764705882,56.4958,0,0,1,0,0,0
145,2,0,19.0,36.75,0,2,1,0,1,0
515,1,0,47.0,34.0208,0,0,1,1,0,0
398,2,0,23.0,10.5,0,0,5,0,0,0
36,3,0,29.69911764705882,7.2292,2,0,1,0,0,1
785,3,0,25.0,7.25,0,0,1,0,0,0
190,2,1,32.0,13.0,0,0,3,0,0,1
874,2,1,28.0,24.0,2,1,3,0,1,1
738,3,0,29.69911764705882,7.8958,0,0,1,0,0,0
714,2,0,52.0,13.0,0,0,1,0,0,0
507,1,0,29.69911764705882,26.55,0,0,1,0,0,1
342,2,0,28.0,13.0,0,0,1,0,0,0
393,1,1,23.0,113.275,2,1,2,1,1,1
851,3,0,74.0,7.775,0,0,1,0,0,0
814,3,0,30.5,8.05,0,0,1,0,0,0
560,3,0,29.69911764705882,7.75,1,0,1,0,0,0
39,3,1,14.0,11.2417,2,1,2,0,1,1
401,3,0,26.0,8.05,0,0,1,0,0,0
322,2,1,30.0,12.35,1,0,2,0,0,1
217,2,0,42.0,27.0,0,1,1,0,1,0
375,1,1,29.69911764705882,82.1708,2,1,3,0,1,1
290,1,1,26.0,78.85,0,0,2,0,0,1
51,3,0,21.0,7.8,0,0,1,0,0,0
395,3,0,22.0,7.7958,0,0,1,0,0,0
532,3,0,17.0,7.2292,2,2,1,0,1,0
677,3,1,18.0,9.8417,0,0,2,0,0,1
575,3,0,19.0,14.5,0,0,1,0,0,0
226,2,0,19.0,10.5,0,0,1,0,0,1
759,1,1,33.0,86.5,0,0,5,1,0,1
856,1,1,45.0,164.8667,0,2,3,0,1,1
199,2,1,24.0,13.0,0,0,2,0,0,0
204,3,0,18.0,8.05,0,0,1,0,0,1
174,1,0,56.0,30.6958,2,0,1,1,0,0
634,3,1,9.0,27.9,0,5,2,0,1,0
292,2,0,36.0,12.875,2,0,1,1,0,0
208,3,1,16.0,7.75,1,0,2,0,0,1
360,3,0,40.0,27.9,0,5,1,0,1,0
206,3,0,32.0,15.85,0,1,1,0,1,0
604,1,0,35.0,26.55,2,0,1,0,0,1
120,2,0,21.0,73.5,0,2,1,0,1,0
75,3,0,25.0,7.65,0,0,1,1,0,0
613,3,0,29.69911764705882,7.75,1,0,1,0,0,0
209,1,0,40.0,31.0,2,0,1,1,0,1
616,3,0,34.0,14.4,0,2,1,0,1,0
781,1,1,17.0,57.0,0,1,3,1,1,1
198,3,1,29.69911764705882,7.75,1,0,2,0,0,1
221,2,0,27.0,13.0,0,0,1,0,0,0
890,3,0,32.0,7.75,1,0,1,0,0,0
52,1,1,49.0,76.7292,2,1,3,1,1,1
